Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
				d e c e n t		p u k e i s s a	შ ე ს ა ფ ე რ ი ს ი			d e c e n t e	о д е ́ т ы й	
	ব ি র া শ ি			e i g h t y - t w o	o k d e k   d u	k a h d e k s a n k y m m e n t ä k a k s i	ო თ ხ მ ო ც დ ა ო რ ი	ש מ נ י ם ־ ו ש נ י ם	o t t a n t a d u e	o i t e n t a   e   d o i s	в о ́ с е м ь д е с я т   д в а	
				i m m u r e		p a n n a   k i v e n   s i s ä ä n				e m p a r e d a r	з а т о ч и ́ т ь	
		i n v a z e		o n s l a u g h t		r y n t ä y s			i n v a s i o n e	i n v a s ã o	н а ́ т и с к	
			s k å n s k	S c a n i a n		s k o o n e l a i n e n						
				c o m p l i a n c e		j o u s t a v u u s					э л а с т и ́ ч н о с т ь	
		s l e p ý   j a k o   n e t o p ý r		b l i n d   a s   a   b a t								
				t e t r a n i t r o m e t h a n e		t e t r a n i t r o m e t a a n i						
				s e r v e		k o h d e l l a						
				c y c l o b u t a d i e n e					c i c l o b u t a d i e n e			
		b a r o n k a	b a r o n e s s e	b a r o n e s s	b a r o n i n o	p a r o n i t a r			b a r o n e s s a	b a r o n e s a	б а р о н е ́ с с а	
		j e d n o r á z o v ý		o n e - o f f		k e r t a					е д и ́ н с т в е н н ы й	
				c o m m u t e r		t y ö m a t k a l a i n e n			p e n d o l a r e			
				e n c i r c l e m e n t		y m p y r ö i n t i					о к р у ж е ́ н и е	
				t r a c k   l i g h t i n g		k i s k o v a l a i s t u s						
				u n t h o u g h t - o f		o d o t t a m a t o n						
				l o g j a m		t u k k i s u m a					з а т о р	
				t h a n k   G o d		J u m a l a n   k i i t o s				g r a ç a s   a   D e u s	с л а ́ в а   Б о г у	
		a u t o m a t i z o v a t	a u t o m a t i s e r e	a u t o m a t e		a u t o m a a t t i s t a a				a u t o m a t i z a r	а в т о м а т и з и ́ р о в а т ь	
				n o r m a l   s u b g r o u p					s o t t o g r u p p o   i n v a r i a n t e			
		o s t a t n í		e l s e		m u u				m a i s	е щ ё	
			k a l v	c a l f		p o i k a n e n				c r i a	к и т ё н о к	n d a m a
				e m a n a t e		h u o k u a			e m a n a r e			
				g a f f e r   t a p e		r o u d a r i n t e i p p i					и з о л е н т а	
				b o m b a s t i c		m a h t i p o n t i n e n			a m p o l l o s o	b o m b á s t i c o	в ы с о к о п а ́ р н ы й	
				g i g a w a t t		g i g a w a t t i	გ ი გ ა ვ ა ტ ი		g i g a w a t t		г и г а в а ́ т т	
				d e p e n d				ת ל ו י	p e n d e r e			t e g e m e a
				a g a m a		a g a m a				a g a m a		
				b a g   o f   b o n e s		l u u k a s a					К о щ е ́ й   б е с с м е ́ р т н ы й	
a t o o m		a t o m	a t o m	a t o m		a t o m i		א ָ ט ו ֹ ם	a t o m o	á t o m o	а ́ т о м	
		k o u ř i t	s u t t e   a f	g i v e   h e a d		o t t a a   s u i h i n			s p o m p i n a r e	p a g a r   b o q u e t e	о т с о с а ́ т ь	
				c o l l a r e d   a n t s h r i k e		v a l k o n i s k a m u u r a			a v e r l a   f o r m i c h i e r a   d a l   c o l l a r e			
			b r ø l	r o a r		j y r i n ä			r o m b o		р ы ч а ́ н и е	
		s k a l p o v a t		s c a l p		v i e d ä   p ä ä n a h k a			s c o t e n n a r e	e s c a l p a r		
		k ó d		c o d e	ĉ i f r o	s a l a k i r j o i t u s j ä r j e s t e l m ä	კ ო დ ე ქ ს ი			c ó d i g o	ш и ф р	
		j a z y k	i n d f ø d t   s p r o g	n a t i v e   l a n g u a g e								
				c l o d r o n a t e		k l o d r o n a a t t i						
		p o k o l e n í	s l æ g t l e d	g e n e r a t i o n		s u k u p o l v i		ד ּ ו ֹ ר		g e r a ç ã o	п о к о л е ́ н и е	k i z a z i
			s c o r e	s c o r e		s a a d a						
			P r i n s e n   p å   d e n   h v i d e   h e s t	M i s t e r   R i g h t								
				A d i t i							А ́ д и т и	
			J o m f r u e n	V i r g o		N e i t s y t	ქ ა ლ წ უ ლ ი	ב ְ ּ ת ו ּ ל ָ ה	V e r g i n e	V i r g e m	Д е ́ в а	M a s h u k e
				l u d i c						l ú d i c o		
		k u k a č k a	g ø g	c u c k o o	k u k o l o	k ä k i	გ უ გ უ ლ ი	ק ו ק י י ה	c u c ù	c u c o	к у к у ́ ш к а	k e k e o
				d e f l a t e						e s v a z i a r		
		u j g u r š t i n a		U y g h u r		u i g u u r i			u i g u r o	u i g u r	у й г у ́ р с к и й	
				p a p e r - p u s h e r					p a s s a c a r t e			
w o r s		v u ř t		s a u s a g e		m a k k a r a			s a l s i c c i a	l i n g u i ç a	с а р д е ́ л ь к а	
				c o h a b i t a n t		a v o p u o l i s o					с о ж и ́ т е л ь н и ц а	
		k o n c o v ý   u ž i v a t e l		e n d   u s e r		l o p p u k ä y t t ä j ä					к о н е ́ ч н ы й   п о ́ л ь з о в а т е л ь	
		t e c h n o	t e c h n o	t e c h n o	t e k n o - m u z i k o	t e c h n o	ტ ე ქ ნ ო		t e c h n o	t e c h n o	т е ́ х н о	
				a c r o l e i n		a k r o l e i i n i				a c r o l e í n a		
				B e h ç e t ' s   d i s e a s e		B e h ç e t i n   t a u t i			s i n d r o m e   d i   B e h ç e t	d o e n ç a   d e   B e h ç e t		
				g r a v i t a t i o n a l l y					g r a v i t a z i o n a l m e n t e			
		k a r t á č		g r a p e s h o t		k a r t e s s i			m i t r a g l i a	m e t r a l h a	к а р т е ́ ч ь	
				L e c c o					L e c c o	L e c c o		
		č l o v ě k o h o d i n a	m a n d t i m e	m a n - h o u r		h e n k i l ö t y ö t u n t i						
				r i p e		p a h a n h a j u i n e n						
				w e l d i n g		h i t s a u s			s a l d a t u r a	s o l d a g e m	с в а ́ р к а	
		n a d á v a t		c u r s e		k i r o i l l a	გ ი ნ ე ბ ა	ק י ל ל	b e s t e m m i a r e	p r a g u e j a r	о б р у г а ́ т ь	l a a n i
				d r i n k   s o m e o n e   u n d e r   t h e   t a b l e		j u o d a   p ö y d ä n   a l l e					п е р е п и ́ т ь	
				c u r l		r u l l a t a				e n c a r a c o l a r		
				t r i v i a l		t u r h a n a i k a i n e n						
				p e r i o d		j a k s o						
				p n e u m a t i c		p n e u m a a t t i n e n				p n e u m á t i c a		
				B u l g a r		b o l g a a r i					б о л г а ́ р	
			j ø d e k i r s e b æ r	b l a d d e r   c h e r r y		l y h t y k o i s o			a l c h e c h e n g i	a l q u e q u e n j e	ф и з а ́ л и с	
				s u g g e s t		v i i t a t a				s u g e r i r	н а м е к н у ́ т ь	
		r a m l i c e		d o e	k u n i k l i n o	n a a r a s k a n i			c o n i g l i a	c o e l h a	к р о л ь ч и ́ х а	
				d e n d r i t e		d e n d r i i t t i				d e n d r i t o		
			S h e r l o c k   H o l m e s	S h e r l o c k   H o l m e s	Ŝ e r l o k o   H o l m s o			ש ר ל ו ק   ה ו ל מ ס		S h e r l o c k   H o l m e s	Ш е ́ р л о к   Х о л м с	
		š i r o k o		w i d e l y	v a s t e	l a a j a l t i				a m p l a m e n t e	ш и р о к о ́	
				m i c r o e l e c t r o d e					m i c r o e l e t t r o d o	m i c r o e l e t r o d o		
			o s m a n n i s k	O t t o m a n		o t t o m a a n i n e n			o s m a n l i	o t o m a n o	о т т о м а ́ н с к и й	
				h a c k n e y e d		k l i s e i n e n		ח ב ו ט		b a t i d o	ш а б л о ́ н н ы й	
				a d a p t i n						a d a p t i n a		
				n o r t h e r n   f l i c k e r							з о л о т о ́ й   ш и л о к л ю ́ в ы й   д я ́ т е л	
			K a n a l ø e r n e	C h a n n e l   I s l a n d s		K a n a a l i s a a r e t				I l h a s   d o   C a n a l	о с т р о в а ́   Ч а ́ н н е л	
				c h o r d i n g		s o i n n u t u s						
				G o r y e o							К о р ё	
				r a d i a l							р а д и а л ь н ы й	
				p r i m a r y		a l a -	თ ა ვ დ ა პ ი რ ვ ე ლ ი			p r i m á r i a s	п е р в и ́ ч н ы й	
				p a r a l y t i c		h a l v a a n t u n u t				p a r a l í t i c o		
				h o r r o r   s t o r y		k a u h u t a r i n a						
				r e f i l l						r e e n c h e r		
	চ া ট া	l í z á n í		l i c k		n u o l l a	ლ ო კ ვ ა		l e c c a t a	l a m b i d a	о б л и ́ з ы в а н и е	
			B a r n a u l	B a r n a u l		B a r n a u l	ბ ა რ ნ ა უ ლ ი	ב ר נ א ו ל		B a r n a u l	Б а р н а у ́ л	
		š t ě d r ý		b o u n t e o u s								
		m u l t i -		m u l t i -		m o n i -			m u l t i -	m u l t i -	м у л ь т и -	
				p o l i s h		l a n k a t a			l u c i d a r e			
				i n t e r r e l a t i o n s h i p					i n t e r r e l a z i o n e			
				h y d r o q u i n o n e						h i d r o q u i n o n a		
		h a t ě		p a n t a l o o n s								
	ব ঙ ্ গ দ ে শ	B e n g á l s k o	B e n g a l e n	B e n g a l		B e n g a l		ב נ ג ל		B e n g a l a	Б е н г а ́ л и я	B u n g a l a
				a n s e r i n e						a n s e r i n o	г у с и ́ н ы й	
				f e e l e r						s e n t i d o r	щ у п	
		r o v n o s t á ř s k ý		e g a l i t a r i a n		e g a l i t a a r i n e n			e g u a l i t a r i o	i g u a l i t á r i o	э г а л и т а ́ р н ы й	
				a t o m i c   m a s s   u n i t		a t o m i m a s s a y k s i k k ö						
				s t o i c a l l y		t y y n e s t i			s t o i c a m e n t e		с т о ́ й к о	
				4 0 t h					4 0 º	4 0 º		
		d y n a m i k a		d y n a m i c s		d y n a m i i k k a			d i n a m i c a	d i n â m i c a	д и н а ́ м и к а	
				n o n e x i s t e n c e						i n e x i s t ê n c i a	н е с у щ е с т в о в а ́ н и е	
				h y d r o p h i l e					i d r o f i l a			
				p i l l   t o   s w a l l o w						s a p o   a   e n g o l i r	г о ́ р ь к а я   п и л ю ́ л я	
				m e m o r y   l e a k		m u i s t i v u o t o				v a z a m e n t o   d e   m e m ó r i a	у т е ч к а   п а м я т и	
				i n   f u l l   s w i n g		t ä y d e s s ä   v a u h d i s s a			i n   p i e n o   s v o l g i m e n t o		н а   п о л н у ю   к а т у ш к у	
				r e g i f t							п е р е д а р и в а т ь	
				a d j e c t i v e l y						a d j e t i v a m e n t e		
				m o d u l a r i t y					m o d u l a r i t à			
				d a m a g e a b l e					d a n n e g g i a b i l e			
				w i n e   c o o l e r		v i i n i k a a p p i						
				T r a n s c a s p i a							З а к а с п и ́ й с к и й   к р а ́ й	
		I n d k a	i n d e r	I n d i a n		i n t i a l a i n e n			i n d i a n o	i n d i a n o	и н д у ́ с к а	M h i n d i
			r i s i k e r e	r i s k		r i s k e e r a t a			r i s c h i a r e	a r r i s c a r		
				g r o s s   s a l e s		b r u t t o m y y n t i						
