Orthography	Segments
E X C L A M A T I O N P O I N T	ɛ k s k l ʌ m eɪ ʃ ʌ n p ɔɪ n t
C L O S E Q U O T E	k l oʊ z k w oʊ t
D O U B L E Q U O T E	d ʌ b ʌ l k w oʊ t
E N D O F Q U O T E	ɛ n d ʌ v k w oʊ t
E N D Q U O T E	ɛ n d k w oʊ t
I N Q U O T E S	ɪ n k w oʊ t s
Q U O T E	k w oʊ t
U N Q U O T E	ʌ n k w oʊ t
H A S H M A R K	h æ m ɑ ɹ k
P O U N D S I G N	p aʊ n d s aɪ n
S H A R P S I G N	ʃ ɑ ɹ p s aɪ n
P E R C E N T	p ɝ s ɛ n t
A M P E R S A N D	æ m p ɝ s æ n d
A L L O	ɑ l oʊ
A P O S T R O P H E	ʌ p ɑ s t ɹ ʌ f i
B O U T	b aʊ t
C A U S E	k ʌ z
C O U R S E	k ɔ ɹ s
C U S E	k j u z
E M	ʌ m
E N D I N N E R Q U O T E	ɛ n d ɪ n ɝ k w oʊ t
E N D Q U O T E	ɛ n d k w oʊ t
F R I S C O	f ɹ ɪ s k oʊ
G A I N	ɡ ɛ n
I N N E R Q U O T E	ɪ n ɝ k w oʊ t
K A Y	k eɪ
M	ʌ m
N	ʌ n
Q U O T E	k w oʊ t
R O U N D	ɹ aʊ n d
S	ɛ s
S I N G L E Q U O T E	s ɪ ŋ ɡ ʌ l k w oʊ t
T I L	t ɪ l
T I S	t ɪ z
T W A S	t w ʌ z
B E G I N P A R E N S	b ɪ ɡ ɪ n p ɝ ɛ n z
I N P A R E N T H E S E S	ɪ n p ɝ ɛ n θ ʌ s i z
L E F T P A R E N	l ɛ f t p ɝ ɛ n
O P E N P A R E N T H E S E S	oʊ p ʌ n p ɝ ɛ n θ ʌ s i z
P A R E N	p ɝ ɛ n
P A R E N S	p ɝ ɛ n z
P A R E N T H E S E S	p ɝ ɛ n θ ʌ s i z
C L O S E P A R E N	k l oʊ z p ɝ ɛ n
C L O S E P A R E N T H E S E S	k l oʊ z p ɝ ɛ n θ ʌ s i z
E N D P A R E N	ɛ n d p ɝ ɛ n
E N D P A R E N S	ɛ n d p ɝ ɛ n z
E N D P A R E N T H E S E S	ɛ n d p ɝ ɛ n θ ʌ s i z
E N D T H E P A R E N	ɛ n d ð ʌ p ɝ ɛ n
P A R E N	p ɝ ɛ n
P A R E N S	p ɝ ɛ n z
R I G H T P A R E N	ɹ aɪ t p ɛ ɹ ʌ n
U N P A R E N T H E S E S	ʌ n p ɝ ɛ n θ ʌ s i z
P L U S	p l ʊ s
C O M M A	k ɑ m ʌ
D A S H	d æ ʃ
D A S H	d æ ʃ
H Y P H E N	h aɪ f ʌ n
E L L I P S I S	ɪ l ɪ p s ɪ s
D E C I M A L	d ɛ s ʌ m ʌ l
D O T	d ɑ t
F U L L S T O P	f ʊ l s t ɑ p
P E R I O D	p ɪ ɹ i ʌ d
P O I N T	p ɔɪ n t
S L A S H	s l æ ʃ
D	θ ɹ i d i
D	θ ɹ i d i
C O L O N	k oʊ l ʌ n
S E M I C O L O N	s ɛ m i k oʊ l ʌ n
S E M I C O L O N	s ɛ m ɪ k oʊ l ʌ n
Q U E S T I O N M A R K	k w ɛ s tʃ ʌ n m ɑ ɹ k
A	ʌ
A	eɪ
A S	eɪ z
A	eɪ
A S	eɪ z
A D	eɪ d i
A M	eɪ ɛ m
A S	eɪ z
A	eɪ f ɔ ɹ t u w ʌ n t u eɪ t
A A	eɪ eɪ
A A A	t ɹ ɪ p ʌ l eɪ
A A A I	t ɹ ɪ p ʌ l eɪ aɪ
A A B E R G	ɑ b ɝ ɡ
A A C H E N	ɑ k ʌ n
A A C H E N E R	ɑ k ʌ n ɝ
A A H	ɑ
A A K E R	ɑ k ɝ
A A L I Y A H	ɑ l i ɑ
A A L S E T H	ɑ l s ɛ θ
A A M O D T	ɑ m ʌ t
A A N C O R	ɑ n k ɔ ɹ
A A R D E M A	ɑ ɹ d ɛ m ʌ
A A R D V A R K	ɑ ɹ d v ɑ ɹ k
A A R D V A R K S	ɑ ɹ d v ɑ ɹ k s
A A R G H	ɑ ɹ ɡ
A A R H U S	ɑ h u s
A A R O N	ɛ ɹ ʌ n
A A R O N S	ɛ ɹ ʌ n z
A A R O N S	ɛ ɹ ʌ n z
A A R O N S O N	ɛ ɹ ʌ n s ʌ n
A A R O N S O N	ɑ ɹ ʌ n s ʌ n
A A R O N S O N S	ɛ ɹ ʌ n s ʌ n z
A A R O N S O N S	ɑ ɹ ʌ n s ʌ n z
A A R T I	ɑ ɹ t i
A A S E	ɑ s
A A S E N	ɑ s ʌ n
A B	æ b
A B A	eɪ b i eɪ
A B A B A	ʌ b ɑ b ʌ
A B A B A	ɑ b ʌ b ʌ
A B A C H A	æ b ʌ k ʌ
A B A C K	ʌ b æ k
A B A C O	æ b ʌ k oʊ
A B A C U S	æ b ʌ k ʌ s
A B A D	ʌ b ɑ d
A B A D A K A	ʌ b æ d ʌ k ʌ
A B A D I	ʌ b æ d i
A B A D I E	ʌ b æ d i
A B A I R	ʌ b ɛ ɹ
A B A L K I N	ʌ b ɑ l k ɪ n
A B A L O N E	æ b ʌ l oʊ n i
A B A L O N E S	æ b ʌ l oʊ n i z
A B A L O S	ɑ b ɑ l oʊ z
A B A N D O N	ʌ b æ n d ʌ n
A B A N D O N E D	ʌ b æ n d ʌ n d
A B A N D O N I N G	ʌ b æ n d ʌ n ɪ ŋ
A B A N D O N M E N T	ʌ b æ n d ʌ n m ʌ n t
A B A N D O N M E N T S	ʌ b æ n d ʌ n m ʌ n t s
A B A N D O N S	ʌ b æ n d ʌ n z
A B A N T O	ʌ b æ n t oʊ
A B A R C A	ʌ b ɑ ɹ k ʌ
A B A R E	ɑ b ɑ ɹ i
A B A S C A L	æ b ʌ s k ʌ l
A B A S H	ʌ b æ ʃ
A B A S H E D	ʌ b æ ʃ t
A B A S I A	ʌ b eɪ ʒ j ʌ
A B A T E	ʌ b eɪ t
A B A T E D	ʌ b eɪ t ɪ d
A B A T E M E N T	ʌ b eɪ t m ʌ n t
A B A T E M E N T S	ʌ b eɪ t m ʌ n t s
A B A T E S	ʌ b eɪ t s
A B A T I N G	ʌ b eɪ t ɪ ŋ
A B A T T O I R	æ b ʌ t w ɑ ɹ
A B B A	æ b ʌ
A B B A D O	ʌ b ɑ d oʊ
A B B A S	ʌ b ɑ s
A B B A S I	ɑ b ɑ s i
A B B A T E	ɑ b eɪ t
A B B A T I E L L O	ɑ b ɑ t i ɛ l oʊ
A B B E	æ b i
A B B E	æ b eɪ
A B B E N H A U S	æ b ʌ n h aʊ s
A B B E T T	ʌ b ɛ t
A B B E V I L L E	æ b v ɪ l
A B B E Y	æ b i
A B B E Y S	æ b i z
A B B I E	æ b i
A B B I T T	æ b ɪ t
A B B O T	æ b ʌ t
A B B O T S T O W N	æ b ʌ t s t aʊ n
A B B O T T	æ b ʌ t
A B B O T T S	æ b ʌ t s
A B B O T T S T O W N	æ b ʌ t s t aʊ n
A B B O U D	ʌ b u d
A B B O U D	ʌ b aʊ d
A B B R E V I A T E	ʌ b ɹ i v i eɪ t
A B B R E V I A T E D	ʌ b ɹ i v i eɪ t ɪ d
A B B R E V I A T E S	ʌ b ɹ i v i eɪ t s
A B B R E V I A T I N G	ʌ b ɹ i v i eɪ t ɪ ŋ
A B B R E V I A T I O N	ʌ b ɹ i v i eɪ ʃ ʌ n
A B B R E V I A T I O N S	ʌ b ɹ i v i eɪ ʃ ʌ n z
A B B R U Z Z E S E	ɑ b ɹ u t s eɪ z i
A B B S	æ b z
A B B Y	æ b i
A B C	eɪ b i s i
A B C S	eɪ b i s i z
A B C O	æ b k oʊ
A B C O T E K	æ b k oʊ t ɛ k
A B C S	eɪ b i s i z
A B D	eɪ b i d i
A B D A L L A	æ b d æ l ʌ
A B D A L L A H	æ b d æ l ʌ
A B D E L	æ b d ɛ l
A B D E L L A	æ b d ɛ l ʌ
A B D I C A T E	æ b d ʌ k eɪ t
A B D I C A T E D	æ b d ʌ k eɪ t ɪ d
A B D I C A T E S	æ b d ʌ k eɪ t s
A B D I C A T I N G	æ b d ɪ k eɪ t ɪ ŋ
A B D I C A T I O N	æ b d ɪ k eɪ ʃ ʌ n
A B D N O R	æ b d n ɝ
A B D O	æ b d oʊ
A B D O L L A H	æ b d ɑ l ʌ
A B D O M E N	æ b d oʊ m ʌ n
A B D O M E N	æ b d ʌ m ʌ n
A B D O M I N A L	æ b d ɑ m ʌ n ʌ l
A B D O M I N A L	ʌ b d ɑ m ʌ n ʌ l
