Orthography	Segments
A B A C K	ʌ b æ k
A B B R E V I A T I O N	ʌ b ɹ i v i eɪ ʃ ʌ n
A B R U Z Z O	ɑ b ɹ u z oʊ
A C C E S S I N G	æ k s ɛ s ɪ ŋ
A C E R B I C	ʌ s ɛ ɹ b ɪ k
A C K E R M A N N	æ k ɝ m ʌ n
A D A P T A B I L I T Y	ʌ d æ p t ʌ b ɪ l ʌ t i
A D J O I N I N G	ʌ dʒ ɔɪ n ɪ ŋ
A D M I N I S T E R E D	ʌ d m ɪ n ɪ s t ɝ d
A D O L E S C E N C E	æ d ʌ l ɛ s ʌ n s
A D V E N T U R E R S	ʌ d v ɛ n tʃ ɝ ɝ z
A D V E R S E	æ d v ɝ s
A F F I X	æ f ɪ k s
A G A C H E S	æ ɡ æ tʃ ʌ z
A G E N C Y S	eɪ dʒ ʌ n s i z
A I S L E S	aɪ ʌ l z
A L B A N Y S	ɔ l b ʌ n i z
A L B E R T S	æ l b ɝ t s
A L C O	æ l k oʊ
A L D E N	ɑ l d ʌ n
A L E J A N D R E	ɑ l eɪ j ɑ n d ɹ eɪ
A L I Q U I P P A	æ l ʌ k w ɪ p ʌ
A L L A Y I N G	ʌ l eɪ ɪ ŋ
A L M I G H T Y	ɔ l m aɪ t i
A L R E A D Y	ɔ l ɹ ɛ d i
A L T E R N A T I V E L Y	ɔ l t ɝ n ʌ t ɪ v l i
A M E L I T A	ɑ m ɛ l i t ʌ
A M O S	eɪ m ʌ s
A N A C O R T E S	æ n ʌ k ɔ ɹ t ʌ s
A N A S T O S	æ n ʌ s t oʊ z
A N D E L	æ n d ʌ l
A N G E R	æ ŋ ɡ ɝ
A N G O L A S	æ ŋ ɡ oʊ l ʌ z
A N N I S S A	æ n i s ʌ
A P P R O V I N G	ʌ p ɹ u v ɪ ŋ
A Q U I L A	æ k w ʌ l ʌ
A R B A T	ɑ ɹ b æ t
A R C H B I S H O P	ɑ ɹ tʃ b ɪ ʃ ʌ p
A R C H I M E D E S	ɑ ɹ k ʌ m i d i z
A R G O N N E	ɑ ɹ ɡ oʊ n
A R M A M E N T S	ɑ ɹ m ʌ m ʌ n t s
A R S E N I O	ɑ ɹ s i n i oʊ
A R T I C L E	ɑ ɹ t ɪ k ʌ l
A R T I C U L A T E D	ɑ ɹ t ɪ k j ʌ l eɪ t ɪ d
A R T Y S	ɑ ɹ t i z
A S S A I L	ʌ s eɪ l
A S S E S S O R	ʌ s ɛ s ɝ
A S T R O P H Y S I C S	æ s t ɹ oʊ f ɪ z ɪ k s
A U D I T O R I U M S	ɔ d ɪ t ɔ ɹ i ʌ m z
A U T O B I O G R A P H I C A L	ɔ t ʌ b aɪ ʌ ɡ ɹ æ f ɪ k ʌ l
A V A L O S	ɑ v ɑ l oʊ z
A V E R I L	eɪ v ɝ ɪ l
A V N E T	æ v n ɛ t
A W F U L L Y	ɔ f ʌ l i
A Z I Z	ʌ z i z
A Z P U R U A	æ z p j ʊ ɹ u ʌ
B A C K E R	b æ k ɝ
B A D A L A M E N T I	b ɑ d ɑ l ɑ m ɛ n t i
B A G U E T T E	b æ ɡ ɛ t
B A K O S	b ɑ k oʊ z
B A L S I G E R	b æ l s ɪ ɡ ɝ
B A N D O L I E R S	b æ n d ʌ l ɪ ɹ z
B A N J A	b ɑ n j ʌ
B A N K N O T E S	b æ ŋ k n oʊ t s
B A N K R U P T E D	b æ ŋ k ɹ ʌ p t ɪ d
B A R B E	b ɑ ɹ b
B A R C L A Y S	b ɑ ɹ k l i z
B A R G A I N S	b ɑ ɹ ɡ ʌ n z
